 Week 1
 Date	Time (ET)	 Away Team	 Home Team
  	1:00 pm 	 New York Jets 	 New England Patriots
  	1:00 pm 	 San Diego Chargers 	 Cleveland Browns
  	1:00 pm 	 Tampa Bay Buccaneers 	 New Orleans Saints
  	1:00 pm 	 Tennessee Titans 	 Jacksonville Jaguars
  	1:00 pm 	 Washington Redskins 	 Chicago Bears
  	4:05 pm 	 Indianapolis Colts 	 Oakland Raiders
  	4:25 pm 	 Arizona Cardinals 	 Seattle Seahawks
  	4:25 pm 	 San Francisco 49ers 	 Los Angeles Rams
  	8:25 pm 	 Cincinnati Bengals 	 Houston Texans
 Sun Dec 25 	4:30 pm 	 Baltimore Ravens 	 Pittsburgh Steelers
  	8:30 pm 	 Denver Broncos 	 Kansas City Chiefs
 Mon Dec 26 	8:30 pm 	 Detroit Lions 	 Dallas Cowboys
  Week 17
 Date	Time (ET)	 Away Team	 Home Team
 Sun Jan 1 	1:00 pm 	 Baltimore Ravens 	 Cincinnati Bengals
  	1:00 pm 	 Buffalo Bills 	 New York Jets
  	1:00 pm 	 Carolina Panthers 	 Tampa Bay Buccaneers
  	1:00 pm 	 Chicago Bears 	 Minnesota Vikings
  	1:00 pm 	 Cleveland Browns 	 Pittsburgh Steelers
  	1:00 pm 	 Dallas Cowboys 	 Philadelphia Eagles
  	1:00 pm 	 Green Bay Packers 	 Detroit Lions
  	1:00 pm 	 Houston Texans 	 Tennessee Titans
  	1:00 pm 	 Jacksonville Jaguars 	 Indianapolis Colts
  	1:00 pm 	 New England Patriots 	 Miami Dolphins
  	1:00 pm 	 New Orleans Saints 	 Atlanta Falcons
  	1:00 pm 	 New York Giants 	 Washington Redskins
  	4:25 pm 	 Arizona Cardinals 	 Los Angeles Rams
  	4:25 pm 	 Kansas City Chiefs 	 San Diego Chargers
  	4:25 pm 	 Oakland Raiders 	 Denver Broncos
  	4:25 pm 	 Seattle Seahawks 	 San Francisco 49ers
